,State,Abbreviation,Number,Summary,Bill Type,Date,Status,Erin Reed's State Risk,URL,Sponsors,Bill Title,Bill Intent
11,Arizona,AZ,SB1040,Public schools; restrooms; reasonable accommodations,Trans Bathroom Ban,3/8/2023,House read second time,Low,https://legiscan.com/AZ/bill/SB1040/2023,John Kavanagh,Public schools; restrooms; reasonable accommodations,WE WILL CIRCUMSCRIBE THE SPACES YOU WALK IN
12,Arizona,AZ,SB1698,Unlawful exposure; minors; sentencing; reporting,Drag Ban,3/22/2023,"House JUD Committee action: Do Pass, voting: (5-3-0-0-0-0)",Low,https://legiscan.com/AZ/bill/SB1698/2023,"Justine Wadsack, Rachel Jones, Cory McGarr",Unlawful exposure; minors; sentencing; reporting,YOUR PRESENCE IS A PERVERSION
13,Arizona,AZ,HB2711,Student information; parental notification; requirements,Forced Outing by Schools,2/8/2023,House read second time,Low,https://legiscan.com/AZ/bill/HB2711/2023,"Alexander Kolodin, Joseph Chaplik",Student information; parental notification; requirements,WE WILL DENY YOU YOUR NAME
14,Arizona,AZ,SB1702,Gender transition; prohibitions; hormone therapies,Gender Affirming Care Ban,2/2/2023,Senate read second time,Low,https://legiscan.com/AZ/bill/SB1702/2023,"Justine Wadsack, Rachel Jones, Cory McGarr",Gender transition; prohibitions; hormone therapies,WE WILL TAKE YOUR BODY FROM YOU
15,Arkansas,AR,HB1156,Concerning A Public School District Or Open-enrollment Public Charter School Policy Relating To A Public School Student&#x27;s Sex.,Trans Bathroom Ban,3/21/2023,Notification that HB1156 is now Act 317,Worst,https://legiscan.com/AR/bill/HB1156/2023,"Mary Bentley, Dan Sullivan, Karilyn Brown, Cindy Crawford, DeAnna Hodges, Jack Ladyman, Wayne Long, Robin Lundstrum, Mindy McAlindon, Josh Miller, Ryan Rose, Dwight Tosh, Sonia Eubanks Barker",Concerning A Public School District Or Open-enrollment Public Charter School Policy Relating To A Public School Student&#x27;s Sex.,WE WILL CIRCUMSCRIBE THE SPACES YOU WALK IN
16,Arkansas,AR,SB199,Concerning Medical Malpractice And Gender Transition In Minors; And To Create The Protecting Minors From Medical Malpractice Act Of 2023. ,Gender Affirming Care Ban,3/16/2023,Notification that SB199 is now Act 274,Worst,https://legiscan.com/AR/bill/SB199/2023,"Gary Stubblefield, Mary Bentley",Concerning Medical Malpractice And Gender Transition In Minors; And To Create The Protecting Minors From Medical Malpractice Act Of 2023. ,WE WILL TAKE YOUR BODY FROM YOU
17,Arkansas,AR,SB270,To Amend The Criminal Offense Of Sexual Indecency With A Child.,Trans Bathroom Ban,3/7/2023,"Read the first time, rules suspended, read the second time and referred to the Committee on JUDICIARY COMMITTEE- HOUSE",Worst,https://legiscan.com/AR/bill/SB270/2023,"John Payton, Cindy Crawford, Ben Gilmore, Missy Irvin, Blake Johnson, Mark Johnson, Matt Stone, David Wallace",To Amend The Criminal Offense Of Sexual Indecency With A Child.,WE WILL CIRCUMSCRIBE THE SPACES YOU WALK IN
18,Arkansas,AR,SB294,To Create The Learns Act; To Amend Various Provisions Of The Arkansas Code As They Relate To Early Childhood Through Grade Twelve Education In The State Of Arkansas; And To Declare An Emergency.,Don't Say Gay/Forced Outing,3/14/2023,Notification that SB294 is now Act 237,Worst,https://legiscan.com/AR/bill/SB294/2023,"Breanne Davis, Keith Brooks, Matthew Shepherd, Austin Mccollum, Brit McKenzie, Aaron Pilkington, Stephen Meeks, Jeff Wardlaw, Jon Eubanks, Bruce Cozart, Richard Womack, Charlene Fite, Robin Lundstrum, Mary Bentley, Justin Gonzales, Rick Beck, Karilyn Brown, Marcus Richmond, Jack Fortner, Frances Cavenaugh, John Maddox, Sonia Eubanks Barker, Johnny Rye, Steve Hollowell, Danny Watson, Roger Lynch, Carlton Wing, Cindy Crawford, Lee Johnson, Cameron Cooper, Harlan Breaux, Brian Evans, Richard McGrew, David Ray, Howard Beaty, Rick McClure, Jon Milligan, Delia Haak, John Carr, Kendon Underwood, Tony Furman, Grant Hodges, Jeremiah Moore, Brandon Achor, Rebecca Burkes, RJ Hawk, Mindy McAlindon, Matt Brown, Ryan Rose, Chad Puryear, Zack Gramlich, Stetson Painter, Matt Duffield, Steve Unger, Scott Richardson, Wade Andrews, Bart Hester, Missy Irvin, Jonathan Dismang, Jane English, Gary Stubblefield, Scott Flippo, Blake Johnson, David Wallace, Ricky Hill, Mark Johnson, Kim Hammer, Dan Sullivan, Ben Gilmore, Matt McKee, Clint Penzo, Justin Boyd, Jim Petty, Joshua Bryant, Steve Crowell, Matt Stone, Tyler Dees, John Payton, Jim Dotson, Alan Clark",To Create The Learns Act; To Amend Various Provisions Of The Arkansas Code As They Relate To Early Childhood Through Grade Twelve Education In The State Of Arkansas; And To Declare An Emergency.,WE WILL EMPOWER YOUR ENEMIES
19,Arkansas,AR,SB43,To Add Certain Restrictions To An Adult-oriented Performance; And To Define An Adult-oriented Performance.,Drag Ban,2/27/2023,Notification that SB43 is now Act 131,Worst,https://legiscan.com/AR/bill/SB43/2023,"Gary Stubblefield, Mary Bentley, Sonia Eubanks Barker, Cameron Cooper, Cindy Crawford, Delia Haak, DeAnna Hodges, Jack Ladyman, Wayne Long, Robin Lundstrum, Mindy McAlindon, Scott Richardson, Ryan Rose, Johnny Rye, Dwight Tosh, Joshua Bryant, Blake Johnson, Kim Hammer, Terry Rice, Scott Flippo, Clint Penzo, Ben Gilmore, Matt Stone, Matt McKee, Alan Clark, Bart Hester, Tyler Dees, Dan Sullivan, Ronald Caldwell, Ricky Hill",To Add Certain Restrictions To An Adult-oriented Performance; And To Define An Adult-oriented Performance.,YOUR PRESENCE IS A PERVERSION
20,Arkansas,AR,HB1468,"To Create The Given Name Act; And To Prohibit Requiring Employees Of Public Schools And State-supported Institutions Of Higher Education To Use A Person&#x27;s Preferred Pronoun, Name, Or Title Without Parental Consent.",Forced Misgendering,3/15/2023,REPORTED CORRECTLY ENGROSSED,Worst,https://legiscan.com/AR/bill/HB1468/2023,"Wayne Long, Mark Johnson, Marcus Richmond, Mary Bentley, Harlan Breaux, Joey Carr, Cindy Crawford, Robin Lundstrum, Mindy McAlindon, Rick McClure, Jon Milligan, Ryan Rose, Johnny Rye","To Create The Given Name Act; And To Prohibit Requiring Employees Of Public Schools And State-supported Institutions Of Higher Education To Use A Person&#x27;s Preferred Pronoun, Name, Or Title Without Parental Consent.",ALL THOSE AROUND YOU WILL JOIN HANDS TO MOCK YOU
21,Arkansas,AR,SB125,Concerning Free Speech Rights At State-supported Institutions Of Higher Education.,Legal Discrimination In Education,3/15/2023,Re-referred to EDUCATION COMMITTEE - SENATE,Worst,https://legiscan.com/AR/bill/SB125/2023,"Jim Dotson, Rick Beck",Concerning Free Speech Rights At State-supported Institutions Of Higher Education.,WE WILL EMPOWER YOUR ENEMIES
22,Arkansas,AR,HB1615,To Create The Conscience Protection Act; And To Amend The Religious Freedom Restoration Act.,Legal Discrimination of LTGBTQ people,3/13/2023,"Read the first time, rules suspended, read the second time and referred to the Committee on JUDICIARY COMMITTEE- HOUSE",Worst,https://legiscan.com/AR/bill/HB1615/2023,"Robin Lundstrum, Gary Stubblefield, Mary Bentley, Cameron Cooper, Cindy Crawford, Jimmie Gazaway, Wayne Long, Jon Milligan, Marcus Richmond, Kendon Underwood, Steve Unger, Danny Watson, Alan Clark",To Create The Conscience Protection Act; And To Amend The Religious Freedom Restoration Act.,WE WILL EMPOWER YOUR ENEMIES
23,Colorado,CO,HB1092,Limitating Use Of State Money,Ban on Public Investment in ESG Funds,2/6/2023,House Committee on Finance Postpone Indefinitely,Safest,https://legiscan.com/CO/bill/HB1092/2023,Rod Bockenfeld,"Concerning limitations on the use of state money, and, in connection therewith, requiring the public employees&#039; retirement association to make investments solely on financial factors, prohibiting certain government contracts with entities that engage in economic boycotts, and requiring the state treasurer to invest money eligible for investment solely on financial factors.",WE WILL EMPOWER YOUR ENEMIES
24,Colorado,CO,HB1098,Women&#039;s Rights In Athletics,Trans Sports Ban,2/13/2023,"House Committee on State, Civic, Military, & Veterans Affairs Postpone Indefinitely",Safest,https://legiscan.com/CO/bill/HB1098/2023,"Brandi Bradley, Lisa Frizell, Byron Pelton, Ryan Armagost, Anthony Hartsook, Ron Weinberg, Ty Winter",Concerning protecting female students&#039; rights in athletics.,WE WILL SHUT YOU OUT OF PUBLIC LIFE
25,Connecticut,CT,HB06213,An Act Prohibiting Student Athletes Who Were Born As Males From Participating In Women's Interscholastic Athletic Events.,Trans Sports Ban,1/19/2023,Referred to Joint Committee on Education,Safest,https://legiscan.com/CT/bill/HB06213/2023,Douglas Dubitsky,To eliminate unfair competition in women's interscholastic sporting competition.,WE WILL SHUT YOU OUT OF PUBLIC LIFE
26,Connecticut,CT,HB06331,An Act Requiring Public School Educators To Recognize Each Student By The Biological Gender Of Such Student.,Forced Misgendering,1/20/2023,Referred to Joint Committee on Education,Safest,https://legiscan.com/CT/bill/HB06331/2023,Joe Hoxha,To require public school educators to recognize each student by the biological gender of such student.,ALL THOSE AROUND YOU WILL JOIN HANDS TO MOCK YOU
27,Connecticut,CT,SB00467,An Act Concerning Gender-specific Facilities And Activities In Private Businesses.,Trans Bathroom Ban,1/18/2023,Referred to Joint Committee on Judiciary,Safest,https://legiscan.com/CT/bill/SB00467/2023,Robert Sampson,To set forth the right of an individual business to determine the policies of the business establishment with respect to gender-specific access to facilities and activities.,WE WILL CIRCUMSCRIBE THE SPACES YOU WALK IN
28,Connecticut,CT,SB00468,An Act Concerning Civil Immunity For Interscholastic Athletic Organizations And The Sanctioning Bodies Of Private Youth Organizations.,Trans Sports Ban,1/18/2023,Referred to Joint Committee on Judiciary,Safest,https://legiscan.com/CT/bill/SB00468/2023,Robert Sampson,To provide civil immunity for interscholastic athletic organizations and the sanctioning bodies of private youth organizations when such entities adopt policies that require an athletic participant to compete on a team that matches the gender identity on the person's birth certificate.,WE WILL SHUT YOU OUT OF PUBLIC LIFE
29,Connecticut,CT,SB00544,An Act Concerning The Use Of A Nonbinary Marker On Birth Certificates.,Birth Certificate Change Ban,1/18/2023,Referred to Joint Committee on Public Health,Safest,https://legiscan.com/CT/bill/SB00544/2023,Robert Sampson,To list the sex of the parents and child on birth certificates.,WE WILL DENY YOU YOUR NAME
30,Florida,FL,H0991,"Defamation, False Light, and Unauthorized Publication of Name or Likenesses",Defamation Bill,3/14/2023,Now in Judiciary Committee,Worst,https://legiscan.com/FL/bill/H0991/2023,"Alex Andrade, Mike Beltran, Dean Black",Provides that journalist's privilege does not apply to defamation claims when defendant is professional journalist or media entity; revises provisions concerning venue for certain actions; provides for attorney fees & costs to prevailing plaintiffs in certain actions; specifies certain persons may not be considered public figures; provides certain allegations are defamatory per se; provides statutory damages to prevailing plaintiffs who are subject of such allegations; creates presumption that statement by anonymous source is presumptively false; provides public figure does not need to show actual malice to prevail in defamation action.,WE WILL EMPOWER YOUR ENEMIES
31,Florida,FL,H1069,Education,Legal Discrimination In Education,3/23/2023,1st Reading (Committee Substitute 2),Worst,https://legiscan.com/FL/bill/H1069/2023,"Education & Employment Committee, Education Quality Subcommittee, Stan McClain, Adam Anderson, Ralph Massullo, Michelle Salzman","Defines ""sex"" for Florida Early Learning-20 Education Code; provides requirements relating to titles & pronouns; revises provisions relating to instruction & materials for specified instruction relating to reproductive health; provides additional requirements for instruction regarding human sexuality; provides district school boards are responsible for materials used in classroom libraries; revises provisions relating to objections of certain materials & process related to such objections; revises school principal, school district & district school board duties & responsibilities relating to certain materials & processes.",WE WILL EMPOWER YOUR ENEMIES
32,Florida,FL,H1069,Education,Don't Say Gay Expansion,3/23/2023,1st Reading (Committee Substitute 2),Worst,https://legiscan.com/FL/bill/H1069/2023,"Education & Employment Committee, Education Quality Subcommittee, Stan McClain, Adam Anderson, Ralph Massullo, Michelle Salzman","Defines ""sex"" for Florida Early Learning-20 Education Code; provides requirements relating to titles & pronouns; revises provisions relating to instruction & materials for specified instruction relating to reproductive health; provides additional requirements for instruction regarding human sexuality; provides district school boards are responsible for materials used in classroom libraries; revises provisions relating to objections of certain materials & process related to such objections; revises school principal, school district & district school board duties & responsibilities relating to certain materials & processes.",NO ONE WILL SEE YOU FOR WHO YOU ARE
33,Florida,FL,H1223,Public PreK-12 Educational Institution and Instruction Requirements,Don't Say Gay Expansion,3/16/2023,Now in Education & Employment Committee,Worst,https://legiscan.com/FL/bill/H1223/2023,"Choice & Innovation Subcommittee, Adam Anderson, Jessica Baker, Doug Bankson, Dean Black, Randy Fine, Spencer Roach",Requires specified policies relating to person&#39;s sex at public K-12 educational institutions; prohibits specified actions relating to use of certain titles & pronouns; & revises requirements for instruction on sexual orientation & gender identity in public schools.,NO ONE WILL SEE YOU FOR WHO YOU ARE
34,Florida,FL,H1269,Taxable Income of Licensed Medical Marijuana Treatment Centers,Gender Affirming Care Ban,3/7/2023,1st Reading (Original Filed Version),Worst,https://legiscan.com/FL/bill/H1269/2023,Dan Daley,Authorizes certain businesses to subtract specified deductions & credits from their taxable income.,WE WILL TAKE YOUR BODY FROM YOU
35,Florida,FL,H1421,Gender Clinical Interventions,Gender Affirming Care Ban,3/23/2023,1st Reading (Committee Substitute 1),Worst,https://legiscan.com/FL/bill/H1421/2023,"Healthcare Regulation Subcommittee, Randy Fine, Ralph Massullo, Doug Bankson, Dean Black, Berny Jacques, Rachel Plakon","Authorizes court of state to enter, modify, or stay child custody determination under specified circumstances; rohibits persons & entities from expending funds for reimbursement for specified clinical interventions; prohibits person&#39;s biological sex from being changed on birth certificate; prohibits gender clinical interventions for minors; authorizes certain persons to refuse to participate in gender clinical interventions; prohibits health insurance policy & health maintenance contract from providing coverage for gender clinical interventions; provides physician liability & authorizes award of specified damages, fees, & costs.",WE WILL TAKE YOUR BODY FROM YOU
36,Florida,FL,S0254,Treatments for Sex Reassignment,Legalizes Abduction of Trans Kids,3/23/2023,"Placed on Calendar, on 2nd reading",Worst,https://legiscan.com/FL/bill/S0254/2023,"Health Policy, Clay Yarborough, Keith Perry, Douglas Broxson","Granting courts of this state jurisdiction to enter, modify, or stay a child custody determination relating to a child present in this state to the extent necessary to protect the child from being subjected to sex-reassignment prescriptions or procedures in another state; prohibiting certain public entities from expending state funds for the provision of sex-reassignment prescriptions or procedures; requiring certain licensed facilities, by a specified date and as a condition of licensure thereafter, to provide a signed attestation of specified information to the Agency for Health Care Administration; prohibiting sex-reassignment prescriptions and procedures for patients younger than 18 years of age, etc.",WE WILL SEPARATE YOU FROM THOSE YOU LOVE
37,Florida,FL,S0952,Employer Coverage of Gender Dysphoria Treatment,Gender Affirming Care Ban,3/7/2023,Introduced,Worst,https://legiscan.com/FL/bill/S0952/2023,Blaise Ingoglia,"Citing this act as the ""Reverse Woke Act""; requiring employers that provide coverage of gender dysphoria treatment to also cover the full costs associated with treatment that reverses such gender dysphoria treatment, regardless of the rate of coverage provided for the initial treatment; prohibiting employers from making coverage of the subsequent treatment contingent on whether the employee receives such treatment in this state; creating a right of action for aggrieved persons to recover actual total costs and damages from an employer or former employer, as applicable, under certain circumstances, etc.",WE WILL TAKE YOUR BODY FROM YOU
38,Florida,FL,S1320,Child Protection in Public Schools,Don't Say Gay Expansion,3/22/2023,Now in Fiscal Policy,Worst,https://legiscan.com/FL/bill/S1320/2023,"Education Pre-K -12, Clay Yarborough, Keith Perry","Defining the term ""sex""; prohibiting an employee, contractor, or student of a public school from being required to refer to a person using personal titles or pronouns that do not correspond with that person's sex; prohibiting classroom instruction by school personnel on sexual orientation or gender identity until grade 9; providing that such prohibition applies to charter schools; providing that materials used to teach reproductive health or any disease as part of certain courses must be approved by the Department of Education; requiring district school boards to adopt and publish a specified process relating to student access to certain materials, etc.",NO ONE WILL SEE YOU FOR WHO YOU ARE
39,Florida,FL,S1674,Facility Requirements Based on Sex,Trans Bathroom Ban,3/14/2023,Introduced,Worst,https://legiscan.com/FL/bill/S1674/2023,"Erin Grall, Keith Perry","Creating the ""Safety in Private Spaces Act""; providing requirements for exclusive use of restrooms by gender; providing requirements for exclusive use of changing facilities by gender; providing exceptions; prohibiting willfully entering a restroom or changing facility designated for the opposite sex and refusing to immediately depart when asked to do so by another person present there; providing criminal penalties, etc.",WE WILL CIRCUMSCRIBE THE SPACES YOU WALK IN
40,Florida,FL,H1265,Employer Coverage of Gender Dysphoria Treatment,Gender Affirming Care Ban,3/7/2023,1st Reading (Original Filed Version),Worst,https://legiscan.com/FL/bill/H1265/2023,Taylor Yarkosky,"Requires employers that provide coverage of gender dysphoria treatment to also cover full costs associated with treatment that reverses such gender dysphoria treatment, regardless of rate of coverage provided for initial treatment; provides that employees who receive such treatment through coverage provided by employer are entitled to coverage of total costs associated with treatment, regardless of whether they are still employed by that employer; prohibits employers from making subsequent treatment contingent on where treatment is received; creates right of action for aggrieved persons to recover actual total costs & damages from employer or former employer.",WE WILL TAKE YOUR BODY FROM YOU
41,Florida,FL,H1521,Facility Requirements Based on Sex,Trans Bathroom Ban,3/24/2023,Added to Regulatory Reform & Economic Development Subcommittee agenda,Worst,https://legiscan.com/FL/bill/H1521/2023,"Rachel Plakon, Dean Black",Provides requirements for exclusive use of restrooms & changing facilities by gender; provides exceptions; prohibits willfully entering restroom or changing facility designated for opposite sex & refusing to immediately depart when asked to do so by another person present there; provides requirements for exclusive use of domestic violence centers by gender; provides requirements for correctional institutions; requires entities that receive state licenses to submit compliance documentation; authorizes AG to bring enforcement actions.,WE WILL CIRCUMSCRIBE THE SPACES YOU WALK IN
42,Georgia,GA,SB140,Hospitals; the treatment of gender dysphoria in minors performed in hospitals and other licensed healthcare facilities; prohibit certain surgical procedures,Gender Affirming Care Ban,3/23/2023,Act 4,High,https://legiscan.com/GA/bill/SB140/2023,"Carden Summers, Ben Watson, Kay Kirkpatrick, John Kennedy, Lee Anderson, Matt Brass, Jason Anavitarte, Billy Hickman, John Albers, Ed Setzler, Shawn Still, Brandon Beach, Russ Goodman, Sam Watson, Chuck Payne, Larry Walker, Blake Tillery, Brian Strickland, Marty Harbin, Ricky Williams, Clint Dixon, Colton Moore, Josh Bonner","A BILL to be entitled an Act to amend Article 1 of Chapter 7 of Title 31 of the Official Code of Georgia Annotated, relating to regulation of hospitals and related institutions, so as to prohibit certain surgical procedures for the treatment of gender dysphoria in minors from being performed in hospitals and other licensed healthcare facilities; to provide for exceptions; to provide for violations; to amend Article 1 of Chapter 34 of Title 43 of the Official Code of Georgia Annotated, relating to the Georgia Composite Medical Board, so as to prohibit certain surgical procedures for the treatment of gender dysphoria in minors; to provide for exceptions; to provide for violations; to provide for legislative findings; to provide for related matters; to repeal conflicting laws; and for other purposes.",WE WILL TAKE YOUR BODY FROM YOU
43,Georgia,GA,HB653,Professions and businesses; prohibit health care providers from performing practices on minors to alter their appearance relating to gender,Gender Affirming Care Ban,3/6/2023,House Second Readers,High,https://legiscan.com/GA/bill/HB653/2023,"Josh Bonner, Rick Jasperse, Todd Jones, Mark Newton, Darlene Taylor, Ginny Ehrhart","A BILL to be entitled an Act to amend Chapter 1 of Title 43 of the O.C.G.A., relating to general provisions relative to professions and businesses, so as to prohibit health care providers from performing specified practices on minors relating to altering a person's appearance relating to gender; to provide for related matters; to provide for an effective date; to repeal conflicting laws; and for other purposes.",WE WILL TAKE YOUR BODY FROM YOU
44,Georgia,GA,SB141,Professions and Businesses; health care providers from performing specified practices on minors relating to altering a person's appearance relating to gender; prohibit,Gender Affirming Care Ban,2/13/2023,Senate Read and Referred,High,https://legiscan.com/GA/bill/SB141/2023,"Clint Dixon, Steve Gooch, Marty Harbin, Randy Robertson, Shawn Still, John Albers, Matt Brass, Greg Dolezal, Shelly Echols, Colton Moore, Lee Anderson, Max Burns, Ed Setzler, Sam Watson, Carden Summers","A BILL to be entitled an Act to amend Chapter 1 of Title 43 of the O.C.G.A., relating to general provisions relative to professions and businesses, so as to prohibit health care providers from performing specified practices on minors relating to altering a person's appearance relating to gender; to prohibit health care providers from aiding or abetting such practices for minors; to amend Part 3 of Article 16 of Chapter 2 of Title 20 of the O.C.G.A., relating to student health, so as to prohibit school nurses and other employees and officials from engaging in certain conduct relating to a minor's perception of his or her gender; to provide for legislative findings; to provide for related matters; to provide for an effective date; to repeal conflicting laws; and for other purposes.",WE WILL TAKE YOUR BODY FROM YOU
45,Georgia,GA,SB88,"""Parents and Children Protection Act of 2023""; enact",Don't Say Gay/Forced Outing,2/6/2023,Senate Read and Referred,High,https://legiscan.com/GA/bill/SB88/2023,"Carden Summers, Colton Moore, Brandon Beach, Clint Dixon, Randy Robertson, John Albers, Shawn Still, Lee Anderson, Matt Brass, Chuck Payne, Marty Harbin","A BILL to be entitled an Act to amend Article 1 of Chapter 7 of Title 19 of the O.C.G.A., relating to general provisions regarding parent and child relationship generally, so as to prohibit certain actions by an adult acting in loco parentis with respect to child privacy; to provide for related matters; to provide for a short title; to repeal conflicting laws; and for other purposes.",WE WILL EMPOWER YOUR ENEMIES
46,Hawaii,HI,HB291,Relating To Certificates Of Birth.,Birth Certificate Change Ban,1/25/2023,"Referred to HLT, JHA, referral sheet 1",Safest,https://legiscan.com/HI/bill/HB291/2023,David Alcos,"Provides that a new certificate of birth issued by the State shall include a designation of the sex of the person born, based on the genitalia of the person. Authorizes amendments of designations of sex on certificates of birth, provided that the birth registrant is an adult, and new designation is based on the genitalia of the birth registrant, as confirmed by a physician or physician's assistant.",WE WILL DENY YOU YOUR NAME
47,Hawaii,HI,HB508,Relating To Sex-specific Student Athletic Teams.,Trans Sports Ban,1/27/2023,"Referred to EDN, JHA, FIN, referral sheet 2",Safest,https://legiscan.com/HI/bill/HB508/2023,Diamond Garcia,Creates the requirement of school sports to designate sex-specific teams for the purpose of gender equality.,WE WILL SHUT YOU OUT OF PUBLIC LIFE
48,Hawaii,HI,HB509,Relating To Parental Rights In Education.,Don't Say Gay/Forced Outing,1/27/2023,"Referred to EDN, JHA, FIN, referral sheet 2",Safest,https://legiscan.com/HI/bill/HB509/2023,Diamond Garcia,Bans instruction related to sexual orientation and gender identity in public schools. Establishes new parental rights regarding health services and records. Establishes the parental right to sue and receive damages if schools fail to adhere to new provisions.,WE WILL EMPOWER YOUR ENEMIES
49,Hawaii,HI,HB891,Relating To Gender Transition Surgery.,Gender Affirming Care Ban,1/30/2023,"Referred to HLT, JHA, FIN, referral sheet 3",Safest,https://legiscan.com/HI/bill/HB891/2023,Diamond Garcia,Prohibits the performance of gender reassignment surgeries on minors. Establishes a Class A felony for those who perform gender reassignment surgeries on minors.,WE WILL TAKE YOUR BODY FROM YOU
50,Hawaii,HI,SB1428,Relating To Parental Rights In Education.,Don't Say Gay/Forced Outing,1/30/2023,"Referred to EDU/HHS, JDC/WAM.",Safest,https://legiscan.com/HI/bill/SB1428/2023,Brenton Awa,Bans instruction related to sexual orientation and gender identity in public schools. Establishes new parental rights regarding health services and records. Establishes the parental right to sue and receive damages if schools fail to adhere to new provisions.,WE WILL EMPOWER YOUR ENEMIES
51,Hawaii,HI,SB1429,Relating To Sex-specific Student Athletic Teams.,Trans sports Ban,1/30/2023,"Referred to EDU/HHS/EET, JDC/WAM.",Safest,https://legiscan.com/HI/bill/SB1429/2023,Brenton Awa,Creates the requirement of school sports to designate sexspecific teams for the purpose of gender equality.,WE WILL SHUT YOU OUT OF PUBLIC LIFE
52,Idaho,ID,S1100,Adds to existing law to establish privacy and safety standards in public schools.,Trans Bathroom Ban,3/23/2023,Session Law Chapter Effective:,High,https://legiscan.com/ID/bill/S1100/2023,Education Committee,EDUCATION -- Adds to existing law to establish privacy and safety standards in public schools.,WE WILL CIRCUMSCRIBE THE SPACES YOU WALK IN
53,Idaho,ID,H0071,Adds to existing law to establish provisions regarding vulnerable child protection.,Gender Affirming Care Ban,3/24/2023,Retained on calendar,High,https://legiscan.com/ID/bill/H0071/2023,"Judiciary, Rules and Administration Committee, Ben Adams, Brent Crane, Daniel Foreman, Kevin Andrus, Glenneda Zuiderveld, Jordan Redman, Tammy Nichols, Brandon Mitchell, Jeff Cornilles, Kenny Wroten, Lance Clow, Jaron Crane, Julianne Young, Joe Alfieri, Vito Barbieri, Heather Scott, Jacyn Gallagher, Mike Kingsley, Dale Hawkins, Charlie Shepherd, Elaine Price",CHILD PROTECTION ACT -- Adds to existing law to establish provisions regarding vulnerable child protection.,WE WILL TAKE YOUR BODY FROM YOU
