State,Number,Summary,Bill Type,Date,Status,Erin Reed's State Risk,Notes,URL,Sponsors,Calendar,History,Manual Status,Change Hash,,,,,,,,,,,,,,,,,,,,,,,
Arizona,SB1702,Gender transition; prohibitions; hormone therapies,Gender Affirming Care Ban,2/2/2023,Senate read second time,Low,Force detransition explicitly,https://legiscan.com/AZ/bill/SB1702/2023,"Justine Wadsack, Rachel Jones, Cory McGarr",,"S 2023-02-01 Introduced in Senate and read first time, S 2023-02-01 Assigned to Senate HHS Committee, S 2023-02-01 Assigned to Senate RULES Committee, S 2023-02-02 Senate read second time",,8180e70db473f6a0417dd3da580e8790,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,HB1156,Concerning A Public School District Or Open-enrollment Public Charter School Policy Relating To A Public School Student&#x27;s Sex.,Trans Bathroom Ban,2/15/2023,"Returned by the Committee, with the recommendation that it Do Pass",Worst,,https://legiscan.com/AR/bill/HB1156/2023,"Mary Bentley, Dan Sullivan, Karilyn Brown, Cindy Crawford, DeAnna Hodges, Jack Ladyman, Wayne Long, Robin Lundstrum, Mindy McAlindon, Josh Miller, Ryan Rose, Dwight Tosh, Sonia Eubanks Barker","Hearing 2023-01-19 10:00 Room 138, Hearing 2023-01-24 10:00 Room 138, Hearing 2023-01-30 10:00 Room 138, Hearing 2023-01-31 10:00 Room 138, Hearing 2023-02-08 10:00 Room 207, Hearing 2023-02-13 10:00 Room 207, Hearing 2023-02-14 10:00 Room 207, Hearing 2023-02-15 10:00 Room 207","H 2023-01-17 Filed, H 2023-01-17 Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE, H 2023-01-24 Placed on second reading for the purpose of amendment., H 2023-01-24 Amendment No. 1 read and adopted and the bill ordered engrossed., H 2023-01-24 REPORTED CORRECTLY ENGROSSED, H 2023-01-30 Placed on second reading for the purpose of amendment., H 2023-01-30 Amendment No. 2 read and adopted and the bill ordered engrossed., H 2023-01-30 REPORTED CORRECTLY ENGROSSED, H 2023-01-31 Returned by the Committee Do Pass, H 2023-02-01 Read the third time and passed and ordered transmitted to the Senate., S 2023-02-01 Received from the House., S 2023-02-01 Read first time, rules suspended, read second time, referred to EDUCATION COMMITTEE - SENATE, S 2023-02-15 Returned by the Committee, with the recommendation that it Do Pass",Pass One Chamber,f7257db3591780a9227ae644a447f6e5,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,SB125,To Amend The Restrictions An Institution Of Higher Education May Impose On Free Expression; And To Amend The Areas That Constitute A Public Forum For Members Of A Campus Community.,Legal Discrimination In Education,2/9/2023,Re-referred to EDUCATION COMMITTEE - SENATE,Worst,,https://legiscan.com/AR/bill/SB125/2023,"Dan Sullivan, Rick Beck","Hearing 2023-02-01 10:00 Room 207, Hearing 2023-02-08 10:00 Room 207","S 2023-01-25 Filed, S 2023-01-25 Read first time, rules suspended, read second time, referred to EDUCATION COMMITTEE - SENATE, S 2023-02-09 Withdrawn from Committee for purpose of amendment # 1, S 2023-02-09 Placed on second reading for purpose of amendment., S 2023-02-09 Amendment # 1 read the first time, rules suspended, read the second time and adopted, ordered engrossed., S 2023-02-09 REPORTED CORRECTLY ENGROSSED, S 2023-02-09 Re-referred to EDUCATION COMMITTEE - SENATE",,e24dc9f536746c348692a10d39cabeea,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,SB199,Concerning Medical Malpractice And Gender Transition In Minors; And To Create The Protecting Minors From Medical Malpractice Act Of 2023. ,Gender Affirming Care Ban,2/21/2023,"Read the first time, rules suspended, read the second time and referred to the Committee on JUDICIARY COMMITTEE- HOUSE",Worst,bad bad one,https://legiscan.com/AR/bill/SB199/2023,"Gary Stubblefield, Mary Bentley","Hearing 2023-02-08 10:00 Room 171, Hearing 2023-02-13 10:00 Room 171, Hearing 2023-02-20 10:00 Room 171","S 2023-02-06 Filed, S 2023-02-06 Read first time, rules suspended, read second time, referred to JUDICIARY COMMITTEE - SENATE, S 2023-02-13 Returned by the Committee, with the recommendation that it Do Pass, S 2023-02-15 Re-referred to JUDICIARY COMMITTEE - SENATE, S 2023-02-16 Withdrawn from Committee for purpose of amendment # 1, S 2023-02-16 Placed on second reading for purpose of amendment., S 2023-02-16 Amendment # 1 read the first time, rules suspended, read the second time and adopted, ordered engrossed., S 2023-02-16 REPORTED CORRECTLY ENGROSSED, S 2023-02-16 Re-referred to JUDICIARY COMMITTEE - SENATE, S 2023-02-20 Returned by the Committee, with the recommendation that it Do Pass, S 2023-02-21 Read the third time and passed., S 2023-02-21 Ordered immediately transmitted to the House., H 2023-02-21 RECEIVED FROM THE SENATE, H 2023-02-21 Read the first time, rules suspended, read the second time and referred to the Committee on JUDICIARY COMMITTEE- HOUSE",PAss One Chamber,bb3a89875d4cd1642199622867dfe971,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,SB270,To Amend The Criminal Offense Of Sexual Indecency With A Child.,Trans Bathroom Ban,2/22/2023,Re-referred to JUDICIARY COMMITTEE - SENATE,Worst,Adult ban in all public restrooms,https://legiscan.com/AR/bill/SB270/2023,"John Payton, Cindy Crawford, Ben Gilmore, Missy Irvin, Blake Johnson, Mark Johnson, Matt Stone, David Wallace","Hearing 2023-02-20 10:00 Room 171, Hearing 2023-02-21 10:00 Room 171, Hearing 2023-02-22 10:00 Room 171","S 2023-02-15 Filed, S 2023-02-15 Read first time, rules suspended, read second time, referred to JUDICIARY COMMITTEE - SENATE, S 2023-02-22 Withdrawn from Committee for purpose of amendment # 1, S 2023-02-22 Placed on second reading for purpose of amendment., S 2023-02-22 Amendment # 1 read the first time, rules suspended, read the second time and adopted, ordered engrossed., S 2023-02-22 REPORTED CORRECTLY ENGROSSED, S 2023-02-22 Re-referred to JUDICIARY COMMITTEE - SENATE",,feca3f641cd0171bc0a69b061a4d3c7a,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,SB43,To Add Certain Restrictions To An Adult-oriented Performance; And To Define An Adult-oriented Performance.,Drag Ban,2/22/2023,DELIVERED TO GOVERNOR.,Worst,Anti trans ban. ,https://legiscan.com/AR/bill/SB43/2023,"Gary Stubblefield, Mary Bentley, Sonia Eubanks Barker, Cameron Cooper, Cindy Crawford, Delia Haak, DeAnna Hodges, Jack Ladyman, Wayne Long, Robin Lundstrum, Mindy McAlindon, Scott Richardson, Ryan Rose, Johnny Rye, Dwight Tosh, Joshua Bryant, Blake Johnson, Kim Hammer, Terry Rice, Scott Flippo, Clint Penzo, Ben Gilmore, Matt Stone, Matt McKee, Alan Clark, Bart Hester, Tyler Dees, Dan Sullivan, Ronald Caldwell, Ricky Hill","Hearing 2023-02-01 10:00 Room A, MAC, Hearing 2023-02-13 10:00 Room 272, Hearing 2023-02-14 10:00 Room 272, Hearing 2023-02-16 10:00 Room 272, Hearing 2023-02-20 10:00 Room 272, Hearing 2023-02-21 10:00 Room 272","S 2023-01-09 Filed, S 2023-01-09 Read first time, rules suspended, read second time, referred to CITY, COUNTY & LOCAL AFFAIRS COMMITTEE - SENATE, S 2023-01-19 Returned by the Committee with the recommendation that it Do Pass as amended, Amendment # 1, S 2023-01-23 Placed on second reading for purpose of amendment., S 2023-01-23 Amendment # 1 read the first time, rules suspended, read the second time and adopted, ordered engrossed., S 2023-01-23 REPORTED CORRECTLY ENGROSSED, S 2023-01-24 Read the third time and passed., S 2023-01-24 Ordered immediately transmitted to the House., H 2023-01-24 RECEIVED FROM THE SENATE, H 2023-01-24 Read the first time, rules suspended, read the second time and referred to the Committee on CITY, COUNTY & LOCAL AFFAIRS COMMITTEE- HOUSE, H 2023-01-30 Placed on second reading for the purpose of amendment., H 2023-01-30 Amendment No. 1 read and adopted and the bill ordered engrossed., H 2023-01-30 REPORTED CORRECTLY ENGROSSED, H 2023-02-01 Returned by the Committee with the recommendation that it do pass as amended 2, H 2023-02-02 Placed on second reading for the purpose of amendment., H 2023-02-02 Amendment No. 2 read and adopted and the bill ordered engrossed., H 2023-02-02 REPORTED CORRECTLY ENGROSSED, H 2023-02-06 Read the third time and passed and ordered transmitted to the Senate., H 2023-02-06 Returned To Senate as passed, as amended # 1 & 2, S 2023-02-07 Returned from the House as passed as amended #1 & 2, S 2023-02-07 Re-referred to CITY, COUNTY & LOCAL AFFAIRS COMMITTEE - SENATE, S 2023-02-21 Returned by the Committee with the recommendation that it Do Pass as amended, Amendment # 1 & 2, S 2023-02-22 Placed on second reading for purpose of amendment., S 2023-02-22 House Amendment No. 1 read first time, rule suspended, read second time and concurred in., S 2023-02-22 House Amendment No. 2 read first time, rule suspended, read second time and concurred in., S 2023-02-22 Rules suspended., S 2023-02-22 Read the third time and passed., S 2023-02-22 ORDERED ENROLLED, S 2023-02-22 Reported correctly enrolled and ordered delivered to the Governor., S 2023-02-22 DELIVERED TO GOVERNOR.",Pass Both Chambers,368c2ad444e4c28252303e1aa09b44b6,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,HB1468,"To Prohibit Requiring Faculty Members, Teachers, And Employees Of Public Schools And State-supported Institutions Of Higher Education To Use A Person&#x27;s Preferred Pronoun.",Forced Misgendering,2/20/2023,"Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE",Worst,Allows for school staff to misgender through college,https://legiscan.com/AR/bill/HB1468/2023,Wayne Long,,"H 2023-02-20 Filed, H 2023-02-20 Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE",,de19f5bcc40c6cacd9bda390a8e7de97,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,SB294,To Create The Learns Act; To Amend Various Provisions Of The Arkansas Code As They Relate To Early Childhood Through Grade Twelve (12) Education In The State Of Arkansas; To Declare An Emergency; And To Declare An Emergency.,Don't Say Gay/Forced Outing,2/23/2023,"Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE",Worst,,https://legiscan.com/AR/bill/SB294/2023,"Breanne Davis, Keith Brooks, Matthew Shepherd, Austin Mccollum, Brit McKenzie, Aaron Pilkington, Stephen Meeks, Jeff Wardlaw, Jon Eubanks, Bruce Cozart, Richard Womack, Charlene Fite, Robin Lundstrum, Mary Bentley, Justin Gonzales, Rick Beck, Karilyn Brown, Marcus Richmond, Jack Fortner, Frances Cavenaugh, John Maddox, Sonia Eubanks Barker, Johnny Rye, Steve Hollowell, Danny Watson, Roger Lynch, Carlton Wing, Cindy Crawford, Lee Johnson, Cameron Cooper, Harlan Breaux, Brian Evans, Richard McGrew, David Ray, Howard Beaty, Rick McClure, Jon Milligan, Delia Haak, John Carr, Kendon Underwood, Tony Furman, Grant Hodges, Jeremiah Moore, Brandon Achor, Rebecca Burkes, RJ Hawk, Mindy McAlindon, Matt Brown, Ryan Rose, Chad Puryear, Zack Gramlich, Stetson Painter, Matt Duffield, Steve Unger, Scott Richardson, Wade Andrews, Bart Hester, Missy Irvin, Jonathan Dismang, Jane English, Gary Stubblefield, Scott Flippo, Blake Johnson, David Wallace, Ricky Hill, Mark Johnson, Kim Hammer, Dan Sullivan, Ben Gilmore, Matt McKee, Clint Penzo, Justin Boyd, Jim Petty, Joshua Bryant, Steve Crowell, Matt Stone, Tyler Dees, John Payton, Jim Dotson, Alan Clark","Hearing 2023-02-20 09:00 Room A, MAC, Hearing 2023-02-21 09:00 Room A, MAC, Hearing 2023-02-22 09:00 Room A, MAC","S 2023-02-20 Filed, S 2023-02-20 Read first time, rules suspended, read second time, referred to EDUCATION COMMITTEE - SENATE, S 2023-02-22 Returned by the Committee, with the recommendation that it Do Pass, S 2023-02-23 Read the third time and passed., S 2023-02-23 EMERGENCY CLAUSE ADOPTED, S 2023-02-23 Ordered immediately transmitted to the House., H 2023-02-23 RECEIVED FROM THE SENATE, H 2023-02-23 Read the first time, rules suspended, read the second time and referred to the Committee on EDUCATION COMMITTEE- HOUSE",Pass One Chamber,2adf22a633cd7b2be28d1687d1111909,,,,,,,,,,,,,,,,,,,,,,,
Colorado,HB1092,Limitating Use Of State Money,Ban on Public Investment in ESG Funds,2/6/2023,House Committee on Finance Postpone Indefinitely,Safest,Bans public money from investing in funds that don't invest in companies that fail to provide gender affirming care,https://legiscan.com/CO/bill/HB1092/2023,Rod Bockenfeld,Hearing 2023-02-06 13:30 Room 0112,"H 2023-01-19 Introduced In House - Assigned to Finance, H 2023-02-06 House Committee on Finance Postpone Indefinitely",,3e4faa246c6398ec22e9bfff6e9d5f84,,,,,,,,,,,,,,,,,,,,,,,
Colorado,HB1098,Women&#039;s Rights In Athletics,Trans Sports Ban,2/13/2023,"House Committee on State, Civic, Military, & Veterans Affairs Postpone Indefinitely",Safest,,https://legiscan.com/CO/bill/HB1098/2023,"Brandi Bradley, Lisa Frizell, Byron Pelton, Ryan Armagost, Anthony Hartsook, Ron Weinberg, Ty Winter",Hearing 2023-02-13 13:30 Room LSB-A,"H 2023-01-23 Introduced In House - Assigned to State, Civic, Military, & Veterans Affairs, H 2023-02-13 House Committee on State, Civic, Military, & Veterans Affairs Postpone Indefinitely",,1b9b73bdad306030faca867b1016bb74,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,HB06213,An Act Prohibiting Student Athletes Who Were Born As Males From Participating In Women's Interscholastic Athletic Events.,Trans Sports Ban,1/19/2023,Referred to Joint Committee on Education,Safest,,https://legiscan.com/CT/bill/HB06213/2023,Douglas Dubitsky,,H 2023-01-19 Referred to Joint Committee on Education,,f1e5c73e6489374f01fbdd7d00021fc5,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,HB06331,An Act Requiring Public School Educators To Recognize Each Student By The Biological Gender Of Such Student.,Forced Misgendering,1/20/2023,Referred to Joint Committee on Education,Safest,,https://legiscan.com/CT/bill/HB06331/2023,Joe Hoxha,,H 2023-01-20 Referred to Joint Committee on Education,,6c5d44f4a587088868435aab68baed7c,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,SB00467,An Act Concerning Gender-specific Facilities And Activities In Private Businesses.,Trans Bathroom Ban,1/18/2023,Referred to Joint Committee on Judiciary,Safest,Permits businesses to ban trans people from bathrooms,https://legiscan.com/CT/bill/SB00467/2023,Robert Sampson,,S 2023-01-18 Referred to Joint Committee on Judiciary,,dcef1447e9edf545479a0f77b8b552e7,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,SB00468,An Act Concerning Civil Immunity For Interscholastic Athletic Organizations And The Sanctioning Bodies Of Private Youth Organizations.,Trans Sports Ban,1/18/2023,Referred to Joint Committee on Judiciary,Safest,,https://legiscan.com/CT/bill/SB00468/2023,Robert Sampson,,S 2023-01-18 Referred to Joint Committee on Judiciary,,1b4f50c06ec227fe3c66d49f9d6bed47,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,SB00544,An Act Concerning The Use Of A Nonbinary Marker On Birth Certificates.,Birth Certificate Change Ban,1/18/2023,Referred to Joint Committee on Public Health,Safest,,https://legiscan.com/CT/bill/SB00544/2023,Robert Sampson,,S 2023-01-18 Referred to Joint Committee on Public Health,,c291b7d1f2a9eb9b6ada0fda01ec7dd9,,,,,,,,,,,,,,,,,,,,,,,
Florida,S0952,Employer Coverage of Gender Dysphoria Treatment,Gender Affirming Care Ban,2/20/2023,Filed,Worst,Essentially bans for all adults,https://legiscan.com/FL/bill/S0952/2023,Blaise Ingoglia,,S 2023-02-20 Filed,,3ea6decd2ca481ad9857f8624646f47e,,,,,,,,,,,,,,,,,,,,,,,
Florida,H0991,"Defamation, False Light, and Unauthorized Publication of Name or Likenesses",Defamation Bill,2/21/2023,Filed,Worst,,https://legiscan.com/FL/bill/H0991/2023,Alex Andrade,,H 2023-02-21 Filed,,4bf941dfbb4afd42d0bfc5cb26697307,,,,,,,,,,,,,,,,,,,,,,,
Florida,H1069,Education,Legal Discrimination In Education,2/22/2023,Filed,Worst,Erases trans people from sex education,https://legiscan.com/FL/bill/H1069/2023,Stan McClain,,H 2023-02-22 Filed,,67eefb1b3b07813502e56b2947f31a73,,,,,,,,,,,,,,,,,,,,,,,
Georgia,SB140,Hospitals; the treatment of gender dysphoria in minors performed in hospitals and other licensed healthcare facilities; prohibit certain surgical procedures,Gender Affirming Care Ban,2/23/2023,Senate Committee Favorably Reported By Substitute,Moderate,,https://legiscan.com/GA/bill/SB140/2023,"Carden Summers, Ben Watson, Kay Kirkpatrick, John Kennedy, Lee Anderson, Matt Brass, Jason Anavitarte, Billy Hickman, John Albers, Ed Setzler, Shawn Still, Brandon Beach, Russ Goodman, Sam Watson, Chuck Payne, Larry Walker, Blake Tillery, Brian Strickland, Marty Harbin, Ricky Williams, Clint Dixon, Colton Moore",Hearing 2023-02-22 15:00 450 CAP,"S 2023-02-09 Senate Hopper, S 2023-02-13 Senate Read and Referred, S 2023-02-23 Senate Committee Favorably Reported By Substitute",Pass Committee,e1a4b6b80f82402f7cdebe14d590e09e,,,,,,,,,,,,,,,,,,,,,,,
Georgia,SB141,Professions and Businesses; health care providers from performing specified practices on minors relating to altering a person's appearance relating to gender; prohibit,Gender Affirming Care Ban,2/13/2023,Senate Read and Referred,Moderate,GAC Ban + Forced outing,https://legiscan.com/GA/bill/SB141/2023,"Clint Dixon, Steve Gooch, Marty Harbin, Randy Robertson, Shawn Still, John Albers, Matt Brass, Greg Dolezal, Shelly Echols, Colton Moore, Lee Anderson, Max Burns, Ed Setzler, Sam Watson, Carden Summers",,"S 2023-02-09 Senate Hopper, S 2023-02-13 Senate Read and Referred",,7e91b8c0bfdf541aa03c15a172db6b3a,,,,,,,,,,,,,,,,,,,,,,,
Georgia,SB88,"""Parents and Children Protection Act of 2023""; enact",Don't Say Gay/Forced Outing,2/6/2023,Senate Read and Referred,Moderate,With additional parts about dressing in a sexually provocative manner. Goes up to 16,https://legiscan.com/GA/bill/SB88/2023,"Carden Summers, Colton Moore, Brandon Beach, Clint Dixon, Randy Robertson, John Albers, Shawn Still, Lee Anderson, Matt Brass, Chuck Payne, Marty Harbin",,"S 2023-02-02 Senate Hopper, S 2023-02-06 Senate Read and Referred",,b16fd025769727003fd9ad23f1d9a1f2,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,HB291,Relating To Certificates Of Birth.,Birth Certificate Change Ban,1/25/2023,"Referred to HLT, JHA, referral sheet 1",Safest,,https://legiscan.com/HI/bill/HB291/2023,David Alcos,,"H 2023-01-19 Pending introduction., H 2023-01-20 Introduced and Pass First Reading., H 2023-01-25 Referred to HLT, JHA, referral sheet 1",,0b20d5836dabc71e1216484235e6c904,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,HB508,Relating To Sex-specific Student Athletic Teams.,Trans Sports Ban,1/27/2023,"Referred to EDN, JHA, FIN, referral sheet 2",Safest,,https://legiscan.com/HI/bill/HB508/2023,Diamond Garcia,,"H 2023-01-20 Pending introduction., H 2023-01-23 Introduced and Pass First Reading., H 2023-01-27 Referred to EDN, JHA, FIN, referral sheet 2",,83bacd969db0aaf9f01a3cae997fc94b,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,HB509,Relating To Parental Rights In Education.,Don't Say Gay/Forced Outing,1/27/2023,"Referred to EDN, JHA, FIN, referral sheet 2",Safest,,https://legiscan.com/HI/bill/HB509/2023,Diamond Garcia,,"H 2023-01-20 Pending introduction., H 2023-01-23 Introduced and Pass First Reading., H 2023-01-27 Referred to EDN, JHA, FIN, referral sheet 2",,2a3edad3bdb3b589a228ad99539997a6,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,HB891,Relating To Gender Transition Surgery.,Gender Affirming Care Ban,1/30/2023,"Referred to HLT, JHA, FIN, referral sheet 3",Safest,,https://legiscan.com/HI/bill/HB891/2023,Diamond Garcia,,"H 2023-01-23 Pending introduction., H 2023-01-25 Introduced and Pass First Reading., H 2023-01-30 Referred to HLT, JHA, FIN, referral sheet 3",,a5fdeba030f7d7106691432817a6a5eb,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,SB1428,Relating To Parental Rights In Education.,Don't Say Gay/Forced Outing,1/30/2023,"Referred to EDU/HHS, JDC/WAM.",Safest,,https://legiscan.com/HI/bill/SB1428/2023,Brenton Awa,,"S 2023-01-25 Introduced., S 2023-01-25 Passed First Reading., S 2023-01-30 Referred to EDU/HHS, JDC/WAM.",,2a8bc193a984d10d67d480b79bb71acd,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,SB1429,Relating To Sex-specific Student Athletic Teams.,Trans sports Ban,1/30/2023,"Referred to EDU/HHS/EET, JDC/WAM.",Safest,,https://legiscan.com/HI/bill/SB1429/2023,Brenton Awa,,"S 2023-01-25 Introduced., S 2023-01-25 Passed First Reading., S 2023-01-30 Referred to EDU/HHS/EET, JDC/WAM.",,18ec52d3c4eaab908a5d05005dc2a47f,,,,,,,,,,,,,,,,,,,,,,,
